id,dataset,k=2,k=3,k=4,
179,sat_MD5-30-4,0.162,0.164,0.248,
180,sat_MD5-30-4_p,0.102,0.147,0.214,
181,sat_MD5-30-5_d,0.056,0.084,0.126,
182,sat_MD5-30-5,0.095,0.223,0.27,
183,sat_MD5-30-5_p,0.113,0.152,0.229,
184,sat_min_d,0.502,0.815,1.217,
185,sat_min,0.908,1.405,2.084,
186,sat_min_p,0.768,1.473,1.656,
187,sat_p30_d,0.828,1.893,1.967,
188,sat_p30,1.482,2.868,3.953,
189,sat_p30_p,1.798,2.953,4.064,
190,sat_p30_NOT_d,0.25,0.464,0.704,
191,sat_p30_NOT,0.623,1.002,1.353,
192,sat_p30_NOT_p,0.634,1.069,1.542,
193,sat_non_p30_d,0.827,1.885,1.962,
194,sat_non_p30,1.477,2.863,3.962,
195,sat_non_p30_p,1.788,2.974,4.034,
196,sat_post_d,0.698,1.299,1.642,
197,sat_post,1.164,1.912,2.711,
198,sat_post_p,1.087,1.947,2.356,
199,sat_post-ee_d,0.646,1.291,1.569,
200,sat_post-ee,1.076,1.796,2.585,
201,sat_post-ee_p,0.877,1.622,2.005,
202,sat_L100_d,1.234,2.066,3.571,
203,sat_L100,1.986,3.827,5.055,
204,sat_L100_p,2.179,3.106,5.005,
205,sat_L150_d,2.549,5.482,7.857,
206,sat_L150,3.223,6.726,13.056,
207,sat_L150_p,5.856,5.629,10.496,
208,sat_L200_d,2.967,4.549,5.917,
209,sat_L200,4.95,12.782,13.142,
210,sat_L200_p,8.714,9.1,15.111,
211,sat_L80_d,0.822,2.569,1.799,
212,sat_L80,1.475,2.522,3.812,
213,sat_L80_p,1.522,2.501,4.115,
214,sat_k100_1d,3.164,5.912,10.832,
215,sat_k100_1,5.564,9.86,12.508,
216,sat_k100_1p,4.884,7.954,12.516,
217,sat_k100_2d,3.18,5.802,7.391,
218,sat_k100_2,5.622,9.368,12.599,
219,sat_k100_2p,4.588,8.214,10.352,
220,sat_k70_d,2.159,3.859,5.827,
