id,dataset,k=2,k=3,k=4,hedges
300,c-64,1384,7686,9368,51035
301,CondMat,4370,6179,6538,23133
302,cage10,2432,4322,4502,11397
303,ccc,0,7236,6678,49152
304,cfd,2126,2982,5165,70656
305,Chem97Zt,0,0,0,2541
306,circuit,1394,1999,2626,12127
307,ckt,203,687,749,49702
308,cnr,72,370,574,247501
309,conf5_4,0,13353,12288,49152
310,copter,1060,2064,2243,17222
311,coupled,1830,2564,3008,11341
312,crash,2182,3652,4282,160000
313,cryg,208,334,400,10000
314,crystk,1254,2301,3330,13965
315,d_pretok,2711,4762,6395,182730
316,dac11,1528,3379,4572,935731
317,dac14,4385,7202,8398,619815
318,dac16,9133,13235,13594,697458
319,dac2,4531,5602,8013,990899
320,dac3,1517,6176,8881,898001
321,dac6,3760,7625,8138,1006629
322,dac7,2265,4506,6262,1340418
323,delta,686,5203,5089,68600
324,denormal,1216,2000,2366,89400
325,dict,0,953,2107,39327
326,diel,3122,7736,17424,607232
327,cova2,1009,1684,1967,65025
328,ecl32,1837,3467,4529,51993
329,Emilia,28884,53394,68664,923136
330,epb1,223,457,565,14734
331,ESOC,191750,235660,236455,327062
332,Eternity,780,1116,1252,7362
333,ex19,0,195,141,12005
334,F2,1545,2640,3429,71505
335,fd18,165,336,507,16428
336,fem,3319,3941,6480,74062
337,finan,152,324,311,74752
338,flower,5096,7759,8133,27693
339,foldoc,6746,8380,8532,13356
340,Franz,24333,29987,30392,47104
341,G2,763,1432,1647,150102
342,g7jac,964,1288,1527,11790
343,garon,577,938,1289,13535
344,gearbox,280,2850,4236,153746
345,gemat,37,79,79,4929
346,graphics,438,633,927,29493
347,gyro,129,381,693,17361
348,H2O,14405,21979,27854,67024
349,HEP,4114,8068,9103,24541
350,HTC,1698,3444,5461,226340
351,hvdc1,65,109,113,24842
352,IG5,0,9791,13344,30162
353,Ill,1310,1895,2520,20896
354,interp,878,1658,1985,232485
355,IMDB,26161,48720,50365,303617
356,ibm01,224,395,619,14111
357,ibm02,384,389,998,19584
358,ibm03,1098,1939,1931,27401
359,ibm04,635,1446,1826,31970
360,ibm05,1874,3277,3504,28446
361,ibm06,1027,1400,1818,34826
362,ibm07,987,2178,2292,48117
363,ibm08,1297,2328,2741,50513
364,ibm09,679,1546,1812,60902
365,ibm10,1723,2360,2884,75196
366,ibm11,1195,2116,2929,81454
367,ibm12,2233,3104,4821,77240
368,ibm13,961,1884,2160,99666
369,ibm14,2531,3128,4182,152772
370,ibm15,2976,5407,5714,186608
371,ibm16,2043,3909,4871,190048
372,kim1,964,1634,1930,38415
373,kkt,29389,25444,20701,2063494
374,duct3D,2768,6049,7405,67173
375,lhr14,127,253,316,14270
376,li,3033,5733,6566,22695
377,tissue,556,876,1066,29282
378,Lin,6430,10406,12682,256000
379,lp_nug,11536,12780,11536,15240
380,lp_pds,700,1878,2256,33798
381,lung,4,22,30,109460
382,m14b,2080,4373,7203,214765
383,mac,315,636,959,206500
384,Maragal,2535,2226,3194,21251
385,mc2depi,962,1978,2943,525825
386,mixtank,3685,6389,7603,29957
387,mono,8498,13256,16965,169410
388,mri1,505,845,1020,65536
389,msc,1236,2010,2679,10848
390,msdoor,2114,3941,4851,415863
391,mult_dcop,11215,14837,16818,25187
392,nasasrb,730,1449,2183,54870
393,nd12k,12385,17044,19522,36000
394,net100,15002,16417,17114,29920
395,nopoly,62,117,150,10774
396,actors,12077,17930,21054,383640
397,www,3,511,1855,137941
398,obstclae,408,650,778,40000
399,olafu,816,1084,1512,16146
400,opt1,1672,2948,3554,15449
401,Oregon,412,613,783,11174
402,p2p,3737,3984,3716,6221
403,para,7717,12442,14930,153226
404,parabolic,1112,2246,3458,525825
405,Pd,0,0,0,4371
406,pdb,2406,3363,4653,36417
407,pds,1633,3543,5011,142596
408,pesa,79,146,191,11738
409,PGP,384,588,607,10680
410,pkustk,3264,5508,6732,87804
411,poisson3D,4746,7949,9727,85623
412,poli3,109,140,164,16955
413,powersim,9,17,53,15838
414,pre2,3542,6582,10650,659033
415,Pres,506,1100,1460,14822
416,psse2,98,214,294,28634
417,qa8fk,846,5963,6384,66127
418,rajat,27,98,162,51032
419,Reuters,7827,7310,7814,13314
420,RFdevice,2034,3460,4054,74104
421,rgg,980,1515,1842,262141
422,rim,436,657,951,22560
423,rma,483,778,1106,46835
424,Rucci,32943,62480,73071,1977885
425,s4dkt,1350,2736,3414,90449
426,scfxm,991,1351,1530,37980
427,scircuit,45,250,288,170998
428,shallow,777,1201,1529,81920
429,sherman,5547,8053,9548,18510
430,ship,1164,2406,3888,34920
431,shock,248,485,628,36476
432,shyy,160,160,686,76480
433,skirt,12,47,106,12598
434,sme3D,498,2424,4047,29067
435,soc-sign,3985,16509,15744,95318
436,sparsine,18630,25728,30163,50000
437,spmsrtls,6,12,18,29995
438,std1_Jac3,1688,3268,3791,21982
439,stokes,789,1464,1662,49666
440,ted_A,84,213,273,10605
441,TF16,5423,8429,9910,15437
442,thermal,304,553,852,82654
443,therm,314,681,980,102158
444,tmt,2270,3694,4572,917825
445,tomogra,2306,3582,5044,45908
446,torso,7374,11135,12971,259156
447,Trec,2996,3052,3004,3159
448,Trefe,16337,18991,19048,20000
449,TSOPF,8667,11040,12387,30798
450,us04,82,90,100,163
451,usroads,107,268,333,129164
452,venkat,652,1148,1504,62424
453,vibro,2530,3888,4779,12328
454,plastic,1619,2784,3164,32769
455,rocks,432,846,1334,37762
456,wave3D,316,742,1365,21036
457,wathen120,638,1189,1418,36441
458,water,4797,5732,8243,60740
459,wang4,1740,2834,3312,26068
460,xenon,3758,7853,9187,157464
461,Zhao,730,1466,1840,33861
462,G67,0,386,406,10000
463,af101,1820,3915,5735,503625
464,eco1,2078,3497,4259,1000000
465,ibm18,2146,3115,3492,201920
466,ibm17,2788,5125,6555,189581
467,web1M,642,2243,2675,1000005
468,nl120,88850,144612,170546,3542400
469,sat_p,362372,1098255,1647550,13378010
470,wbedu,13321,51457,62552,6920306
471,Stanf,108,216,507,261588
472,gene2,11758,13276,13333,14340
473,Hamr3,1750,5992,5442,1447360
474,StocF,5941,23354,12744,1465137
475,lang,19958,31159,31121,399130
476,kron,37983,30705,37973,55321
477,case39,10959,14681,15960,40216
478,dac9,2352,4322,5606,833808
479,dac12,5986,9555,11496,1293436
480,dac19,1434,4069,5371,511685
481,tran4,55808,75290,85693,116835
482,Cheb4,1044,3592,3714,68121
483,sat_d,5689,7666,15845,521147
484,HV15R,63914,146641,177219,2017169
485,gupta2,18540,32688,38231,62064
486,ASIC,329317,453659,510559,682862
487,ASIC320k,155777,212619,240011,321821
488,wiki-Talk,906,9581,10577,147602
489,com-Youtube,113567,145970,120716,1134890
490,Freescal,1015,2099,2365,3428755
491,roadNet-CA,263,471,900,1965206
492,delaunay23,6088,10113,12204,8388608
493,coPapersDBLP,161100,212471,220630,540486
494,dc1,55808,75290,85693,116835
495,channel,29432,59250,92006,4802000
496,as-Skitter,135110,172653,201739,1696415
497,ASIC_100k,48844,66746,74868,99340
498,dc2,55808,75290,85693,116835
499,tran5,55808,75290,85693,116835
