id,dataset,k=2,k=3,k=4,
399,olafu,0.00290973,0.00804806,0.0113138,
400,opt1,0.00315328,0.00573086,0.0129765,
401,Oregon,0.0157231,0.0167875,0.035061,
402,p2p,0.0148705,0.0127358,0.0284288,
403,para,0.0272868,0.0613479,0.0389625,
404,parabolic,0.0104667,0.0196431,0.0270878,
405,Pd,0.0143858,0.0276938,0.0332979,
406,pdb,0.00400621,0.00868851,0.0112899,
407,pds,0.00981581,0.0154375,0.0395261,
408,pesa,0.00511238,0.00735152,0.0116868,
409,PGP,0.0043488,0.00788246,0.00695302,
410,pkustk,0.0039473,0.0122804,0.0125388,
411,poisson3D,0.0102168,0.0129799,0.0361276,
412,poli3,0.00418915,0.00526883,0.00989568,
413,powersim,0.00243968,0.00485395,0.00807782,
414,pre2,0.0212846,0.0264405,0.0472927,
415,Pres,0.00233149,0.00521997,0.00759835,
416,psse2,0.0044143,0.00924435,0.012956,
417,qa8fk,0.00796937,0.0136045,0.0215496,
418,rajat,0.0228629,0.0230497,0.0427536,
419,Reuters,0.0129309,0.026138,0.0257496,
420,RFdevice,0.0091801,0.0112456,0.0302949,
421,rgg,0.00856928,0.0146455,0.0242674,
422,rim,0.00303718,0.00653125,0.0180574,
423,rma,0.00457901,0.00731779,0.0117855,
424,Rucci,0.0543182,0.0896971,0.109587,
425,s4dkt,0.0088919,0.01276,0.0135176,
426,scfxm,0.00782806,0.00887142,0.0139525,
427,scircuit,0.00779187,0.0177397,0.0262918,
428,shallow,0.00674906,0.0141468,0.0177131,
429,sherman,0.0435015,0.0475791,0.055183,
430,ship,0.0032591,0.00722128,0.0108689,
431,shock,0.0104304,0.0188227,0.0245666,
432,shyy,0.00712013,0.01107,0.0203271,
433,skirt,0.00346646,0.0078848,0.00811859,
434,sme3D,0.00456822,0.01846,0.0108725,
435,soc-sign,0.189879,0.0363868,0.351261,
436,sparsine,0.00856243,0.0159989,0.0260332,
437,spmsrtls,0.00644784,0.0108151,0.0122028,
438,std1_Jac3,0.00616614,0.013414,0.0200277,
439,stokes,0.00485971,0.00884973,0.0120228,
440,ted_A,0.00184307,0.00405517,0.00542141,
441,TF16,0.00429283,0.013895,0.0178575,
442,thermal,0.00560125,0.00911584,0.0176208,
443,therm,0.00744989,0.0130362,0.0177332,
444,tmt,0.0188266,0.0382166,0.0606241,
445,tomogra,0.00626266,0.0303377,0.0160728,
446,torso,0.0112537,0.0209817,0.0270209,
447,Trec,0.00883392,0.0,0.0,
448,Trefe,0.00829834,0.0126472,0.0128613,
449,TSOPF,0.0827344,0.0918162,0.0895315,
450,us04,0.0466787,0.0683252,0.0835507,
451,usroads,0.00902041,0.0152129,0.0227387,
452,venkat,0.00399731,0.0084304,0.0103917,
453,vibro,0.00616678,0.00819482,0.0111951,
454,plastic,0.00528518,0.0148682,0.0182881,
455,rocks,0.00430906,0.00695664,0.0149621,
456,wave3D,0.00360179,0.0080897,0.0124889,
457,wathen120,0.00485709,0.00980856,0.0115459,
458,water,0.00630966,0.0103481,0.0158144,
459,wang4,0.00805926,0.0120903,0.0153379,
460,xenon,0.0112796,0.0169102,0.0368916,
461,Zhao,0.00676509,0.00922459,0.0138141,
462,G67,0.00300525,0.00995354,0.00841864,
463,af101,0.030806,0.0525906,0.0656447,
464,eco1,0.0234864,0.0394296,0.0612799,
465,ibm18,0.00824205,0.0163089,0.0349278,
466,ibm17,0.0127995,0.0164769,0.0286508,
467,web1M,0.0374204,0.058638,0.0886428,
468,nl120,0.153205,0.240896,0.322708,
469,sat_p,0.279918,0.465043,0.640347,
470,wbedu,0.11579,0.138052,1.32996,
471,Stanf,0.675664,0.902167,0.951577,
472,gene2,0.0398189,0.061466,0.0632242,
473,Hamr3,0.0213215,0.0338883,0.0499972,
474,StocF,0.0362454,0.0627746,0.158814,
475,lang,0.168887,0.1979,0.202988,
476,kron,0.176003,0.226372,0.253148,
477,case39,0.169678,0.168606,0.177586,
478,dac9,0.0563885,0.100758,0.110624,
479,dac12,0.0554007,0.108889,0.12764,
480,dac19,0.0674173,0.125464,0.150418,
481,tran4,3.9291,4.02148,4.0955,
482,Cheb4,1.50779,1.50588,1.51645,
483,sat_d,25.753,51.8351,27.9646,
484,HV15R,0.180788,0.302378,0.42418,
485,gupta2,0.0462306,0.0838083,0.116658,
486,ASIC,50.774,49.7157,0.0,
487,ASIC320k,12.4208,12.543,12.8929,
488,wiki-Talk,1.83221,3.42662,5.47298,
489,com-Youtube,0.634859,0.917832,2.37021,
490,Freescal,0.0299941,0.0505924,0.0713784,
491,roadNet-CA,0.0171006,0.0304978,0.0468632,
492,delaunay23,0.0987876,0.166892,0.223517,
493,coPapersDBLP,0.0491177,0.454107,0.0878779,
494,dc1,3.92785,4.02102,4.098,
495,channel,0.190265,0.312627,0.406648,
496,as-Skitter,0.579839,1.26081,0.847655,
497,ASIC_100k,2.8926,3.0112,3.00181,
498,dc2,3.92838,4.01972,4.0995,
499,tran5,3.92888,4.02034,4.10551,
