id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
37,sat_9,2369,0.196,3723,0.292,4832,0.308,
38,sat_9_p,2507,0.134,3675,0.194,4457,0.217,
39,sat_9dlx_d,939,1.135,1434,1.344,1230,1.332,
40,sat_9dlx,32921,1.011,71038,1.342,81550,1.633,
41,sat_9dlx_p,55428,1.270,97468,1.971,125695,2.102,
42,sat_bug7,358940,10.918,796391,18.152,937772,18.954,
43,sat_bug8_d,4090,24.570,8529,26.321,16516,27.657,
44,sat_bug8,334249,11.100,855211,17.561,909495,17.414,
45,sat_bug8_p,349047,11.482,1125405,19.296,1667000,22.471,
46,sat_aaai_d,801,0.289,1378,0.429,1638,0.477,
47,sat_aaai,2311,0.244,3235,0.346,3772,0.348,
48,sat_aaai_p,2568,0.224,4379,0.289,4438,0.336,
49,sat_ACG_10p_d,1813,1.240,1575,1.336,3284,1.398,
50,sat_ACG_10p,3774,1.222,5517,1.302,10084,1.327,
51,sat_ACG_10p_p,4170,0.892,5246,0.941,10412,0.972,
52,sat_ACG_5p0_d,1651,1.053,2409,1.146,3523,1.178,
53,sat_ACG_5p0,3866,1.022,7553,1.124,9581,1.207,
54,sat_ACG_5p0_p,4117,0.762,7141,0.828,9678,0.839,
55,sat_ACG_5p1_d,1412,1.102,2372,1.185,3214,1.207,
56,sat_ACG_5p1,4077,1.042,6384,1.155,9972,1.170,
57,sat_ACG_5p1_p,4223,0.781,7088,0.832,9981,0.841,
58,sat_01_d,244,0.065,531,0.081,640,0.091,
59,sat_01,1121,0.090,1918,0.129,2574,0.156,
60,sat_01_p,1142,0.070,1907,0.099,2747,0.115,
61,sat_27_d,127,0.055,208,0.074,190,0.075,
62,sat_27,2831,0.086,4207,0.130,4406,0.138,
63,sat_27_p,3309,0.073,4283,0.113,4967,0.124,
64,sat_enc1_opt1_05_d,720,0.565,1069,0.688,1247,0.731,
65,sat_enc1_opt1_05,1045,0.278,1324,0.309,1630,0.336,
66,sat_enc1_opt1_05_p,1595,0.264,2503,0.302,2830,0.323,
67,sat_enc1_opt1_10_d,587,0.294,818,0.346,943,0.376,
68,sat_enc1_opt1_10,795,0.174,1093,0.211,1234,0.218,
69,sat_enc1_opt1_10_p,1278,0.153,1815,0.197,2146,0.216,
70,sat_enc1_opt1_15_d,792,0.606,1111,0.722,1224,0.760,
71,sat_enc1_opt1_15,912,0.305,1326,0.337,1625,0.353,
72,sat_enc1_opt1_15_p,1744,0.275,2438,0.330,2693,0.349,
73,sat_enc1_opt2_4_d,511,0.473,801,0.579,873,0.610,
74,sat_enc1_opt2_4,285,0.161,739,0.191,417,0.194,
75,sat_enc1_opt2_4_p,504,0.172,695,0.242,905,0.270,
76,sat_enc1_opt2_12_d,411,0.223,555,0.279,649,0.286,
77,sat_enc1_opt2_12,285,0.085,566,0.117,576,0.120,
78,sat_enc1_opt2_12_p,581,0.090,1014,0.140,1304,0.159,
79,sat_enc1_opt2_16_d,439,0.226,589,0.290,709,0.292,
80,sat_enc1_opt2_16,460,0.091,541,0.106,667,0.119,
81,sat_enc1_opt2_16_p,786,0.092,999,0.139,1243,0.166,
82,sat_enc2_opt1_05_d,672,0.534,972,0.659,1153,0.687,
83,sat_enc2_opt1_05,954,0.264,1390,0.315,1682,0.314,
84,sat_enc2_opt1_05_p,1595,0.222,2467,0.273,2675,0.296,
85,sat_enc2_opt1_15_d,707,0.571,1056,0.665,1304,0.698,
86,sat_enc2_opt1_15,974,0.281,1235,0.325,1702,0.333,
87,sat_enc2_opt1_15_p,1697,0.237,2405,0.308,2745,0.306,
88,sat_enc3_opt1_50_d,2903,6.066,3939,6.123,4365,6.205,
89,sat_enc3_opt1_50,2700,4.970,5119,4.997,6575,5.003,
90,sat_enc3_opt1_50_p,1740,3.233,3689,3.256,4814,3.317,
91,sat_enc3_opt2_21_d,2602,5.586,3663,5.702,4360,5.748,
92,sat_enc3_opt2_21,760,4.629,3035,4.609,3616,4.665,
93,sat_enc3_opt2_21_p,343,2.932,3311,2.980,3592,2.970,
94,sat_enc3_opt2_12_d,1676,4.595,2122,4.648,2498,4.712,
95,sat_enc3_opt2_12,705,3.653,4238,3.708,3751,3.716,
96,sat_enc3_opt2_12_p,813,2.417,3915,2.423,4169,2.432,
97,sat_enc3_opt2_14_d,1672,4.607,2630,4.712,2951,4.745,
98,sat_enc3_opt2_14,734,3.713,3321,3.738,4042,3.768,
99,sat_enc3_opt2_14_p,684,2.434,3956,2.448,3969,2.435,
100,sat_blocks_d,1481,7.178,2962,7.451,4443,7.429,
101,sat_blocks,9937,3.754,19896,3.953,29815,4.072,
102,sat_blocks_p,9955,3.411,19910,3.542,39820,3.617,
103,sat_bob-opt_d,98,0.164,145,0.205,152,0.222,
104,sat_bob-opt,470,0.222,780,0.348,1196,0.394,
105,sat_bob-opt_p,462,0.163,743,0.235,1174,0.274,
106,sat_bob_d,283,0.111,819,0.145,740,0.165,
107,sat_bob,2217,0.175,2652,0.262,3933,0.295,
108,sat_bob_p,2339,0.128,2703,0.193,4206,0.202,
109,sat_c10_d,632,0.383,1185,0.455,1329,0.473,
110,sat_c10,5133,0.513,11178,0.696,11889,0.737,
111,sat_c10_p,5385,0.340,9714,0.531,12183,0.564,
112,sat_count_d,113,0.069,184,0.088,261,0.096,
113,sat_count,390,0.086,608,0.118,1028,0.137,
114,sat_count_p,331,0.067,557,0.095,868,0.103,
115,sat_ctl_d,720,0.171,1011,0.281,1448,0.304,
116,sat_ctl,0,0.099,16,0.166,1803,0.188,
117,sat_ctl_p,0,0.129,40,0.269,4339,0.350,
118,sat_ctl_5_d,2142,0.322,2931,0.522,3653,0.492,
