id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
258,sat_UCG-5p0_p,9083,2.049,,,20459,3.277,,,23681,3.895,,,1190673
259,sat_UR-15_d,2995,0.485,,,5415,0.789,,,6876,0.996,,,199996
260,sat_UR-15,11446,1.862,,,18380,2.979,,,22830,3.491,,,1019200
261,sat_UR-15_p,11461,1.663,,,22871,2.826,,,25838,3.212,,,1019200
262,sat_UR-20_d,3364,0.575,,,5180,0.929,,,8256,1.079,,,224569
263,sat_UR-20,13568,2.332,,,23275,3.753,,,27836,4.27,,,1190619
264,sat_UR-20_p,15164,1.861,,,31724,3.138,,,34304,3.62,,,1190619
265,sat_UTI_d,297,0.695,,,602,1.095,,,812,1.365,,,260342
266,sat_UTI,1519,2.237,,,6182,3.551,,,7639,4.436,,,1391257
267,sat_UTI_p,935,1.686,,,3155,2.657,,,6160,3.239,,,1391257
268,sat_2.0_d,2376,3.264,,,3344,4.174,,,5492,4.386,,,151669
269,sat_2.0,86725,4.964,,,270039,10.988,,,321533,10.719,,,2465731
270,sat_2.0_p,107679,7.601,,,302520,10.905,,,342689,13.061,,,2465731
271,sat_4.0-9_d,1544,1.872,,,2383,2.49,,,7562,2.883,,,96177
272,sat_4.0-9,120037,5.459,,,218795,7.361,,,227823,9.568,,,1814189
273,sat_4.0-9_p,106003,3.199,,,243074,4.136,,,346006,6.108,,,1814189
274,192bit,10049,0.077,,,21310,0.063,,,27942,0.11,,,13691
275,2cubes,4200,0.345,,,12484,0.553,,,14387,0.664,,,101492
276,2D,1025,0.088,,,2235,0.143,,,2330,0.174,,,54019
277,3D,7099,1.431,,,24031,2.237,,,24941,2.802,,,292008
278,ABACUS,673,0.04,,,697,0.064,,,1066,0.076,,,23412
279,af23560,822,0.055,,,1360,0.087,,,3331,0.11,,,23560
280,af_shell,5060,1.023,,,6240,1.605,,,9200,2.009,,,504855
281,airfoil,407,0.031,,,721,0.052,,,1454,0.06,,,14214
282,Andrews,5610,0.183,,,12138,0.334,,,12856,0.391,,,60000
283,appu,13869,0.226,,,27898,0.24,,,41632,0.245,,,14000
284,as-22,797,0.028,,,1483,0.052,,,2248,0.064,,,22963
285,astro,4174,0.064,,,8678,0.074,,,11735,0.088,,,16046
286,atmos,19927,3.726,,,49536,6.231,,,59732,7.52,,,1270432
287,av41092,1182,0.276,,,3370,0.329,,,3060,0.438,,,41092
288,barrier,8979,0.457,,,17490,0.741,,,22938,0.841,,,113076
289,Baumann,2744,0.189,,,4318,0.315,,,6890,0.404,,,112211
290,bayer04,85,0.022,,,203,0.034,,,284,0.042,,,20545
291,bbmat,1196,0.125,,,2950,0.23,,,4251,0.253,,,38744
292,bcsstk,540,0.038,,,1083,0.059,,,1823,0.073,,,13992
293,Ben,2010,0.605,,,3648,0.895,,,5502,1.211,,,245874
294,bibd,1003,0.005,,,1825,0.014,,,2596,0.014,,,1176
295,bips,75,0.013,,,388,0.019,,,326,0.022,,,15066
296,bloweya,5038,0.07,,,8044,0.086,,,8742,0.091,,,30004
297,bundle,1253,0.047,,,2766,0.066,,,4598,0.069,,,10581
298,c-55,4465,0.086,,,8387,0.124,,,9276,0.143,,,32780
299,c-61,2754,0.081,,,5022,0.12,,,5440,0.137,,,43618
300,c-64,1194,0.256,,,7859,0.411,,,12347,0.441,,,51035
301,CondMat,5669,0.082,,,10082,0.117,,,13516,0.109,,,23133
302,cage10,2491,0.052,,,5396,0.066,,,6767,0.075,,,11397
303,ccc,75,0.075,,,4275,0.114,,,7625,0.141,,,49152
304,cfd,2316,0.243,,,4340,0.379,,,7709,0.487,,,70656
305,Chem97Zt,35,0.005,,,72,0.006,,,75,0.009,,,2541
306,circuit,1347,0.019,,,2487,0.026,,,4548,0.037,,,12127
307,ckt,176,0.07,,,2616,0.122,,,2459,0.141,,,49702
308,cnr,51,0.333,,,229,0.558,,,1114,0.668,,,247501
309,conf5_4,0,0.149,,,9441,0.23,,,16110,0.289,,,49152
310,copter,1100,0.044,,,4162,0.082,,,3548,0.087,,,17222
311,coupled,2105,0.047,,,3969,0.063,,,4710,0.07,,,11341
312,crash,2634,0.327,,,4758,0.481,,,7526,0.647,,,160000
313,cryg,224,0.011,,,492,0.018,,,751,0.025,,,10000
314,crystk,1121,0.053,,,2330,0.076,,,3818,0.102,,,13965
315,d_pretok,3206,0.322,,,11548,0.53,,,12430,0.669,,,182730
316,dac11,2237,1.227,,,6221,1.826,,,7249,2.387,,,935731
317,dac14,16190,1.525,,,11078,1.877,,,20857,2.734,,,619815
318,dac16,11067,0.94,,,17525,1.471,,,20071,1.748,,,697458
319,dac2,6328,2.078,,,15570,3.603,,,16780,4.201,,,990899
320,dac3,3372,1.164,,,11683,1.753,,,14780,2.182,,,898001
321,dac6,5739,2.111,,,8176,3.484,,,18772,3.883,,,1006629
322,dac7,2631,1.91,,,6639,2.988,,,10755,3.772,,,1340418
323,delta,675,0.118,,,6575,0.192,,,5622,0.244,,,68600
324,denormal,1272,0.147,,,2874,0.238,,,3690,0.285,,,89400
325,dict,0,0.088,,,817,0.201,,,2951,0.257,,,39327
326,diel,5174,2.696,,,21870,4.148,,,25186,5.355,,,607232
327,cova2,1171,0.16,,,3272,0.262,,,3549,0.309,,,65025
328,ecl32,2493,0.186,,,4886,0.255,,,6522,0.359,,,51993
329,Emilia,27009,4.218,,,69285,6.466,,,84297,7.914,,,923136
330,epb1,231,0.019,,,546,0.033,,,869,0.041,,,14734
331,ESOC,176807,0.972,,,296018,1.671,,,422085,1.479,,,327062
332,Eternity,1058,0.109,,,1866,0.158,,,4043,0.186,,,7362
333,ex19,0,0.022,,,593,0.033,,,360,0.039,,,12005
334,F2,2982,0.321,,,7652,0.497,,,7985,0.641,,,71505
335,fd18,165,0.06,,,422,0.072,,,797,0.1,,,16428
336,fem,3744,0.275,,,6961,0.423,,,9323,0.528,,,74062
