id,dataset,k=2,k=3,k=4,
44,sat_bug8,28.363,58.843,54.885,
45,sat_bug8_p,23.473,58.446,43.242,
46,sat_aaai_d,0.163,0.283,0.313,
47,sat_aaai,0.388,0.587,0.724,
48,sat_aaai_p,0.351,0.555,0.676,
49,sat_ACG_10p_d,0.99,1.486,1.939,
50,sat_ACG_10p,1.892,2.885,3.645,
51,sat_ACG_10p_p,1.76,2.708,3.385,
52,sat_ACG_5p0_d,0.845,1.4,1.663,
53,sat_ACG_5p0,1.638,2.635,3.088,
54,sat_ACG_5p0_p,1.489,2.425,2.864,
55,sat_ACG_5p1_d,0.835,1.405,1.679,
56,sat_ACG_5p1,1.633,2.653,3.174,
57,sat_ACG_5p1_p,1.52,2.423,2.945,
58,sat_01_d,0.017,0.025,0.031,
59,sat_01,0.035,0.055,0.069,
60,sat_01_p,0.037,0.043,0.062,
61,sat_27_d,0.019,0.026,0.03,
62,sat_27,0.041,0.072,0.077,
63,sat_27_p,0.035,0.056,0.057,
64,sat_enc1_opt1_05_d,0.276,0.433,0.498,
65,sat_enc1_opt1_05,0.522,0.895,0.946,
66,sat_enc1_opt1_05_p,0.471,0.757,0.883,
67,sat_enc1_opt1_10_d,0.141,0.235,0.259,
68,sat_enc1_opt1_10,0.271,0.412,0.469,
69,sat_enc1_opt1_10_p,0.22,0.356,0.412,
70,sat_enc1_opt1_15_d,0.312,0.516,0.577,
71,sat_enc1_opt1_15,0.641,1.112,1.165,
72,sat_enc1_opt1_15_p,0.614,0.921,1.154,
73,sat_enc1_opt2_4_d,0.147,0.234,0.347,
74,sat_enc1_opt2_4,0.295,0.47,0.587,
75,sat_enc1_opt2_4_p,0.298,0.472,0.608,
76,sat_enc1_opt2_12_d,0.058,0.09,0.112,
77,sat_enc1_opt2_12,0.115,0.164,0.217,
78,sat_enc1_opt2_12_p,0.104,0.165,0.213,
79,sat_enc1_opt2_16_d,0.058,0.097,0.113,
80,sat_enc1_opt2_16,0.106,0.175,0.21,
81,sat_enc1_opt2_16_p,0.106,0.174,0.213,
82,sat_enc2_opt1_05_d,0.261,0.404,0.479,
83,sat_enc2_opt1_05,0.467,0.751,0.899,
84,sat_enc2_opt1_05_p,0.456,0.719,0.832,
85,sat_enc2_opt1_15_d,0.281,0.465,0.508,
86,sat_enc2_opt1_15,0.527,0.829,1.019,
87,sat_enc2_opt1_15_p,0.503,0.743,0.972,
88,sat_enc3_opt1_50_d,4.066,6.819,8.18,
89,sat_enc3_opt1_50,7.329,11.806,14.037,
90,sat_enc3_opt1_50_p,8.216,13.961,15.84,
91,sat_enc3_opt2_21_d,3.686,6.037,7.169,
92,sat_enc3_opt2_21,6.541,10.54,12.919,
93,sat_enc3_opt2_21_p,7.112,11.074,14.052,
94,sat_enc3_opt2_12_d,2.975,4.746,5.952,
95,sat_enc3_opt2_12,5.435,8.839,10.996,
96,sat_enc3_opt2_12_p,4.956,8.012,9.859,
97,sat_enc3_opt2_14_d,2.997,4.864,6.099,
98,sat_enc3_opt2_14,5.466,8.378,10.825,
99,sat_enc3_opt2_14_p,4.918,8.347,9.997,
100,sat_blocks_d,5.632,8.668,11.764,
101,sat_blocks,14.583,23.805,28.979,
102,sat_blocks_p,15.474,24.767,30.886,
