,matching,node merging,construction,total,matching %,merging %,construction %,others %,# of HEs,# of pins,avgHEdegree,nodemerging in remaining,nodemerging in coarsen,matching in remaining,coarsen %,Refine %,partition %,refine %,balance %,project %,edge cut,1-matching-merging-const-refine
stokes,0.000221856,0.000272768,0.000779008,0.00589859,0.0376117,0.0462429,0.132067,0.784079,49666,558594,11.247,0.0532793,0.306718,0.0433348,0.282834,0.597235,0.119931,0.321378,0.269613,0.0062442,edgecut:1306,0.1868434
ted_A,0.000178336,0.000274112,0.00021488,0.00260464,0.0684686,0.10524,0.0824989,0.743793,10605,424587,40.0365,0.114703,0.426,0.0746251,0.329541,0.373905,0.296554,0.291799,0.0762946,0.00581117,edgecut:324,0.3698875
TF16,0.000335808,0.00035904,0.00082144,0.00515866,0.065096,0.0695995,0.159235,0.706069,15437,216173,14.0036,0.0827812,0.367399,0.0774248,0.348674,0.490162,0.161164,0.328005,0.156996,0.00516103,edgecut:5448,0.2159075
thermal,0.000285024,0.000392928,0.000991008,0.00657981,0.043318,0.0597172,0.150614,0.746351,82654,574458,6.95015,0.0703063,0.331498,0.0509991,0.330757,0.553665,0.115578,0.416416,0.129497,0.0077522,edgecut:458,0.1926858
therm,0.000391456,0.00056672,0.00128112,0.00926899,0.0422329,0.0611415,0.138216,0.75841,102158,711558,6.96527,0.0709476,0.360693,0.0490063,0.307727,0.60846,0.0838132,0.490112,0.111722,0.0066251,edgecut:927,0.1499496
tmt,0.00136493,0.0017377,0.0115034,0.028475,0.0479343,0.0610253,0.403982,0.487058,917825,4584801,4.99529,0.102389,0.396432,0.0804243,0.557919,0.411942,0.0301391,0.19171,0.216462,0.00377033,edgecut:2414,0.0751164
tomogra,0.000475904,0.000625792,0.00110282,0.00939165,0.0506731,0.0666328,0.117425,0.765269,45908,647495,14.1042,0.0754982,0.402909,0.0574151,0.282804,0.626139,0.0910562,0.323927,0.297585,0.00462709,edgecut:3752,0.1391301
torso,0.00141978,0.00116128,0.0063528,0.0170954,0.0830501,0.0679293,0.371608,0.477412,259156,4429042,17.0903,0.1081,0.333996,0.132163,0.574992,0.378029,0.0469795,0.328939,0.044709,0.00438012,edgecut:8162,0.0993836
Trec,0.00216298,0.00373619,0.00305763,0.0132551,0.16318,0.281867,0.230675,0.324277,3159,2872265,909.232,0.366383,0.616143,0.212108,0.688146,0.254274,0.0575801,0.105547,0.147667,0.00105982,edgecut:3126,0.070004
Trefe,0.000288512,0.000284,0.00102851,0.00884816,0.032607,0.0320971,0.11624,0.819056,20000,554466,27.7233,0.0363188,0.349837,0.0368958,0.207989,0.695705,0.0963057,0.139578,0.554044,0.00208315,edgecut:17867,0.1233509
TSOPF,0.0165368,0.0188534,0.0839014,0.124995,0.132299,0.150833,0.671237,0.0456313,30798,1801300,58.4876,0.458789,0.529451,0.402414,0.956122,0.0125217,0.0313561,0.0123988,0,0.000122885,edgecut:14565,0.0331093
us04,0.00652339,0.0129926,0.035583,0.0582449,0.111999,0.223068,0.61092,0.0540124,163,297538,1825.39,0.573322,0.663454,0.287857,0.947142,0.0189599,0.0338977,0.0188545,0,0.000105486,edgecut:150,0.0350531
usroads,0.000308032,0.000483232,0.000937408,0.011584,0.0265911,0.0417154,0.0809224,0.850771,129164,330870,2.56163,0.0453883,0.322823,0.0289324,0.210143,0.719031,0.0708258,0.396057,0.317684,0.00529004,edgecut:244,0.1317401
venkat,0.000318496,0.000347232,0.000793056,0.00594922,0.0535358,0.058366,0.133304,0.754794,62424,1717792,27.5181,0.0673431,0.31298,0.06177,0.319789,0.543932,0.136279,0.34698,0.190422,0.00652994,edgecut:1008,0.2108622
vibro,0.000377376,0.000502944,0.000639392,0.00841558,0.0448425,0.0597634,0.0759771,0.819417,12328,342828,27.8089,0.0646774,0.404046,0.0485297,0.223889,0.682167,0.0939438,0.29776,0.380091,0.0043158,edgecut:3734,0.13725
plastic,0.000349344,0.000420608,0.000741824,0.005872,0.0594932,0.0716294,0.126332,0.742545,32769,381326,11.6368,0.0819871,0.367705,0.0680959,0.321134,0.546785,0.132082,0.410708,0.129896,0.00617984,edgecut:1760,0.1957604
rocks,0.000216992,0.000264608,0.000579552,0.00466208,0.046544,0.0567575,0.124312,0.772387,37762,1162244,30.7781,0.0648147,0.341483,0.0531514,0.290521,0.544238,0.165241,0.320736,0.217407,0.00609513,edgecut:624,0.2281485
wave3D,0.000278976,0.000373824,0.000599744,0.00692848,0.0402651,0.0539547,0.0865621,0.819218,21036,303468,14.4261,0.0590677,0.348259,0.0440808,0.241489,0.63809,0.120421,0.270928,0.361213,0.00594878,edgecut:769,0.1811281
wathen120,0.000251136,0.000320672,0.00068464,0.00616966,0.040705,0.0519756,0.110969,0.796351,36441,565761,15.5254,0.0584632,0.319028,0.0457858,0.273887,0.590756,0.135356,0.33592,0.247726,0.00711092,edgecut:929,0.2055944
water,0.000628576,0.000590944,0.00164419,0.0119115,0.0527706,0.0496113,0.138034,0.759584,60740,2035281,33.5081,0.057556,0.32894,0.0612212,0.288856,0.646284,0.0648596,0.348504,0.293348,0.0044327,edgecut:4670,0.1133001
wang4,0.000320352,0.000418368,0.000926208,0.00982288,0.0326128,0.0425912,0.0942909,0.830505,26068,177196,6.79745,0.0470252,0.313947,0.0360081,0.229955,0.69003,0.0800157,0.457469,0.226651,0.00590947,edgecut:2637,0.1404751
xenon,0.0010375,0.000943104,0.00276099,0.0155546,0.0667007,0.0606318,0.177503,0.695165,157464,3866688,24.556,0.0737167,0.351351,0.0810953,0.35007,0.598671,0.0512589,0.279486,0.315305,0.00388,edgecut:4499,0.0964935
Zhao,0.000304064,0.00040432,0.000922368,0.00839478,0.0362206,0.0481632,0.109874,0.805742,33861,166453,4.91577,0.0541083,0.312732,0.0406915,0.263882,0.6367,0.0994179,0.452029,0.177787,0.00688427,edgecut:1862,0.1690422
G67,0.000174112,0.00027168,0.000362752,0.00538134,0.0323547,0.0504855,0.0674092,0.84975,10000,40000,4,0.0541347,0.31659,0.0346934,0.226876,0.620264,0.15286,0.429835,0.182313,0.00811693,edgecut:26,0.2294866
af101,0.00578688,0.00492304,0.0222682,0.0527478,0.109708,0.0933316,0.422163,0.374797,503625,17550675,34.8487,0.161519,0.379212,0.18986,0.668283,0.312111,0.0196061,0.286221,0.0226472,0.00324321,edgecut:7555,0.0626864
eco1,0.00363501,0.00215952,0.0186386,0.0361179,0.100643,0.0597908,0.516047,0.323519,1000000,4996000,4.996,0.123547,0.300005,0.20796,0.715347,0.26045,0.0242034,0.236383,0.0208544,0.00321259,edgecut:12769,0.0630692
ibm18,0.0007496,0.0010343,0.00252595,0.0110646,0.0677473,0.0934783,0.22829,0.610484,201920,819697,4.05951,0.121131,0.440144,0.0877887,0.440672,0.480478,0.0788502,0.347078,0.128412,0.00498886,edgecut:4280,0.1300064
ibm17,0.000802528,0.000860672,0.0028817,0.0172742,0.0464583,0.0498242,0.166821,0.736897,189581,860036,4.53651,0.0598001,0.377774,0.0557602,0.29871,0.649804,0.0514859,0.266629,0.379773,0.003403,edgecut:3080,0.0870925
web1M,0.00835008,0.0146142,0.0179174,0.0583834,0.143021,0.250314,0.306892,0.299773,1000005,3105536,3.10552,0.361147,0.622433,0.206348,0.709046,0.27419,0.0167636,0.217114,0.0561239,0.000952051,edgecut:624,0.025583
