id,dataset,k=2,k=3,k=4,
50,sat_ACG_10p,0.703,1.139,1.549,
51,sat_ACG_10p_p,0.635,1.061,1.453,
52,sat_ACG_5p0_d,0.311,0.737,0.708,
53,sat_ACG_5p0,0.623,1.149,1.393,
54,sat_ACG_5p0_p,0.548,1.012,1.208,
55,sat_ACG_5p1_d,0.286,0.531,0.693,
56,sat_ACG_5p1,0.612,1.104,1.506,
57,sat_ACG_5p1_p,0.554,0.925,1.217,
58,sat_01_d,0.036,0.048,0.094,
59,sat_01,0.055,0.084,0.124,
60,sat_01_p,0.036,0.071,0.093,
61,sat_27_d,0.042,0.047,0.095,
62,sat_27,0.059,0.098,0.129,
63,sat_27_p,0.05,0.083,0.09,
64,sat_enc1_opt1_05_d,0.112,0.2,0.257,
65,sat_enc1_opt1_05,0.366,0.621,0.583,
66,sat_enc1_opt1_05_p,0.17,0.424,0.383,
67,sat_enc1_opt1_10_d,0.08,0.148,0.181,
68,sat_enc1_opt1_10,0.395,0.332,0.581,
69,sat_enc1_opt1_10_p,0.116,0.317,0.245,
70,sat_enc1_opt1_15_d,0.122,0.234,0.283,
71,sat_enc1_opt1_15,0.386,0.554,0.649,
72,sat_enc1_opt1_15_p,0.264,0.478,0.547,
73,sat_enc1_opt2_4_d,0.059,0.101,0.518,
74,sat_enc1_opt2_4,0.094,0.175,0.262,
75,sat_enc1_opt2_4_p,0.097,0.182,0.287,
76,sat_enc1_opt2_12_d,0.034,0.052,0.082,
77,sat_enc1_opt2_12,0.066,0.098,0.158,
78,sat_enc1_opt2_12_p,0.052,0.087,0.158,
79,sat_enc1_opt2_16_d,0.029,0.068,0.077,
80,sat_enc1_opt2_16,0.046,0.103,0.114,
81,sat_enc1_opt2_16_p,0.048,0.089,0.137,
82,sat_enc2_opt1_05_d,0.111,0.195,0.564,
83,sat_enc2_opt1_05,0.195,0.303,0.462,
84,sat_enc2_opt1_05_p,0.184,0.397,0.407,
85,sat_enc2_opt1_15_d,0.106,0.217,0.253,
86,sat_enc2_opt1_15,0.199,0.368,0.509,
87,sat_enc2_opt1_15_p,0.173,0.304,0.441,
88,sat_enc3_opt1_50_d,1.444,2.987,3.578,
89,sat_enc3_opt1_50,2.958,5.129,6.465,
90,sat_enc3_opt1_50_p,3.324,6.125,7.678,
91,sat_enc3_opt2_21_d,1.357,2.489,3.1,
92,sat_enc3_opt2_21,2.576,4.523,5.874,
93,sat_enc3_opt2_21_p,3.14,5.196,7.027,
94,sat_enc3_opt2_12_d,1.059,1.928,2.83,
95,sat_enc3_opt2_12,2.15,3.843,5.12,
96,sat_enc3_opt2_12_p,1.992,3.602,4.565,
97,sat_enc3_opt2_14_d,1.06,2.338,2.991,
98,sat_enc3_opt2_14,2.173,3.668,5.001,
99,sat_enc3_opt2_14_p,1.979,3.758,4.647,
100,sat_blocks_d,1.423,2.497,4.25,
101,sat_blocks,5.447,9.472,12.191,
102,sat_blocks_p,6.186,10.591,13.616,
103,sat_bob-opt_d,0.035,0.086,0.103,
104,sat_bob-opt,0.081,0.174,0.26,
105,sat_bob-opt_p,0.157,0.185,0.299,
106,sat_bob_d,0.036,0.059,0.084,
107,sat_bob,0.064,0.139,0.184,
108,sat_bob_p,0.064,0.091,0.15,
109,sat_c10_d,0.086,0.228,0.306,
110,sat_c10,0.391,0.471,0.905,
111,sat_c10_p,0.33,0.41,0.708,
112,sat_count_d,0.032,0.061,0.075,
113,sat_count,0.064,0.092,0.144,
114,sat_count_p,0.048,0.075,0.12,
