dataset,BiPart,Policy,Mt-KaHyPar-SDet,gHyPart-B,gHyPart,best,self_speedup,mt_speedup,gHyPart-B_speedup,gHyPart_speedup,best_speedup
us04,0.009,RAND,0.135,0.0509546,0.0039871,0.00394102,1,0.066490073,0.137632988,2.333177788,2.333177788
usroads,0.126,RAND,0.137,0.0113133,0.0109574,0.0101134,1,0.918962248,10.55939661,11.72223876,12.04278054
venkat,0.079,RAND,0.094,0.00649904,0.00676826,0.00649904,1,0.837458585,12.36037857,11.75208748,12.36037857
vibro,0.071,RAND,0.216,0.00850502,0.00882227,0.00783126,1,0.328917777,8.677298598,8.039704818,8.677298598
plastic,0.061,RAND,0.129,0.00579968,0.00703542,0.00579968,1,0.474514425,9.820257098,8.176044992,10.45082459
rocks,0.041,RAND,0.077,0.00462733,0.00473859,0.00462733,1,0.531362588,8.680206377,8.559552565,8.680206377
wave3D,0.064,RAND,0.096,0.00720285,0.00635042,0.00626935,1,0.666645973,8.638306028,10.17609413,10.17609413
wathen120,0.058,RAND,0.069,0.00656672,0.00637876,0.00637876,1,0.845683619,8.198876471,8.700687354,9.005651823
water,0.284,RAND,0.183,0.0118874,0.0121708,0.00998321,1,1.549510049,25.49943883,22.93763225,25.6389423
wang4,0.074,RAND,0.125,0.010008,0.0102065,0.00964217,1,0.58981272,7.474845629,7.337630144,7.488279325
xenon,0.233,RAND,0.245,0.0171394,0.0123988,0.0123988,1,0.951772091,15.0203387,20.10214998,20.10214998
Zhao,0.083,RAND,0.096,0.00812042,0.00928615,0.00812042,1,0.863691365,10.11744772,9.542204134,10.11744772
G67,0.024,RAND,0.043,0.00595469,0.00614708,0.00589606,1,0.56436847,3.70390376,3.868016819,4.123895569
af101,1.19,RAND,0.729,0.0547889,0.0503979,0.0503979,1,1.63258062,22.39570003,22.72953005,23.71665966
eco1,1.129,RAND,1.14,0.0366928,0.0344478,0.0335461,1,0.989927741,31.65532982,34.18042663,34.18042663
ibm18,0.226,RAND,0.429,0.0120905,0.0163621,0.0106835,1,0.526888145,20.67268553,20.87933408,21.65767458
ibm17,0.317,RAND,0.477,0.0179492,0.0139802,0.0137094,1,0.664596926,15.78740295,24.35763462,24.57573902
web1M,0.288,RAND,1.162,0.0531758,0.024901,0.024901,1,0.247926404,4.887693365,11.5010922,11.52004608
nl120,6.108,RAND,8.585,0.212619,0.157909,0.157033,1,0.711461542,28.52459476,39.50994217,39.50994217
sat_p,14.937,RAND,12.823,0.323888,0.24615,0.239281,1,1.164851616,45.23170004,62.15074791,62.57173736
