id,dataset,k=2,k=3,k=4,
119,sat_ctl_5,0.263,0.488,0.500,
120,sat_ctl_5_p,0.170,0.350,0.414,
121,sat_dated_11_d,0.415,0.465,0.484,
122,sat_dated_11,0.443,0.507,0.517,
123,sat_dated_11_p,0.365,0.424,0.444,
124,sat_dated_17_d,0.708,0.767,0.807,
125,sat_dated_17,0.728,0.814,0.815,
126,sat_dated_17_p,0.612,0.662,0.680,
127,sat_E02F20_d,6.838,9.291,8.175,
128,sat_E02F20,0.319,0.453,0.582,
129,sat_E02F20_p,0.372,1.320,2.492,
130,sat_E02F22_d,36.867,56.868,52.130,
131,sat_E02F22,0.999,1.344,1.542,
132,sat_E02F22_p,0.854,1.618,5.718,
133,sat_gss-18_d,0.091,0.111,0.117,
134,sat_gss-18,0.122,0.157,0.170,
135,sat_gss-18_p,0.087,0.108,0.118,
136,sat_gss-19_d,0.092,0.112,0.122,
137,sat_gss-19,0.124,0.160,0.173,
138,sat_gss-19_p,0.084,0.106,0.119,
139,sat_gss-20_d,0.089,0.107,0.120,
140,sat_gss-20,0.121,0.151,0.165,
141,sat_gss-20_p,0.088,0.111,0.126,
142,sat_gss-22_d,0.088,0.116,0.118,
143,sat_gss-22,0.118,0.151,0.171,
144,sat_gss-22_p,0.086,0.110,0.120,
145,sat_k45_d,0.389,0.442,0.469,
146,sat_k45,0.414,0.469,0.496,
147,sat_k45_p,0.258,0.310,0.342,
148,sat_itox_d,0.322,0.351,0.378,
149,sat_itox,0.397,0.518,0.591,
150,sat_itox_p,0.262,0.318,0.371,
151,sat_k2fix_d,0.563,0.728,0.719,
152,sat_k2fix,0.102,0.113,0.124,
153,sat_k2fix_p,0.173,0.245,0.256,
154,sat_manol_c10_i_d,0.705,0.833,0.841,
155,sat_manol_c10_i,0.790,1.012,1.063,
156,sat_manol_c10_i_p,0.549,0.746,0.745,
157,sat_manol_c10_d,1.264,1.478,1.469,
158,sat_manol_c10,1.312,1.584,1.692,
159,sat_manol_c10_p,0.907,1.136,1.150,
160,sat_manol_c8_d,0.768,0.895,0.927,
161,sat_manol_c8,0.846,1.079,1.094,
162,sat_manol_c8_p,0.589,0.791,0.854,
163,sat_manol_g10_i_d,0.758,0.890,0.901,
164,sat_manol_g10_i,0.848,1.067,1.108,
165,sat_manol_g10_i_p,0.592,0.751,0.789,
166,sat_MD5-28-1_d,0.086,0.108,0.118,
167,sat_MD5-28-1,0.107,0.169,0.188,
168,sat_MD5-28-1_p,0.089,0.123,0.137,
169,sat_MD5-28-2_d,0.082,0.104,0.114,
170,sat_MD5-28-2,0.109,0.166,0.181,
171,sat_MD5-28-2_p,0.088,0.121,0.139,
172,sat_MD5-28-4_d,0.080,0.105,0.114,
173,sat_MD5-28-4,0.106,0.171,0.188,
174,sat_MD5-28-4_p,0.086,0.126,0.132,
175,sat_MD5-29-4_d,0.084,0.109,0.117,
176,sat_MD5-29-4,0.114,0.174,0.194,
177,sat_MD5-29-4_p,0.090,0.126,0.137,
178,sat_MD5-30-4_d,0.089,0.111,0.121,
179,sat_MD5-30-4,0.115,0.181,0.191,
180,sat_MD5-30-4_p,0.088,0.135,0.148,
181,sat_MD5-30-5_d,0.087,0.112,0.119,
182,sat_MD5-30-5,0.118,0.183,0.193,
183,sat_MD5-30-5_p,0.093,0.138,0.138,
184,sat_min_d,0.693,0.757,0.748,
185,sat_min,0.684,0.802,0.890,
186,sat_min_p,0.442,0.517,0.573,
187,sat_p30_d,1.145,1.309,1.366,
188,sat_p30,0.994,1.081,1.107,
189,sat_p30_p,0.722,0.827,0.890,
190,sat_p30_NOT_d,0.429,0.600,0.652,
191,sat_p30_NOT,0.328,0.422,0.476,
192,sat_p30_NOT_p,0.261,0.402,0.461,
193,sat_non_p30_d,1.145,1.306,1.372,
194,sat_non_p30,0.992,1.084,1.111,
195,sat_non_p30_p,0.728,0.821,0.888,
196,sat_post_d,1.254,1.290,1.304,
197,sat_post,0.893,0.921,0.932,
198,sat_post_p,0.632,0.668,0.681,
199,sat_post-ee_d,1.234,1.248,1.262,
200,sat_post-ee,0.849,0.885,0.901,
201,sat_post-ee_p,0.615,0.655,0.659,
202,sat_L100_d,2.161,2.537,2.366,
203,sat_L100,4.316,6.386,6.160,
204,sat_L100_p,2.554,2.712,3.594,
205,sat_L150_d,4.694,4.914,4.959,
206,sat_L150,5.961,7.178,8.029,
207,sat_L150_p,4.299,5.694,5.812,
208,sat_L200_d,6.373,6.777,6.838,
209,sat_L200,8.694,12.255,11.255,
210,sat_L200_p,6.756,9.729,9.294,
211,sat_L80_d,1.525,1.780,1.656,
212,sat_L80,3.150,4.542,4.485,
213,sat_L80_p,1.957,2.827,2.788,
214,sat_k100_1d,4.772,4.826,4.890,
215,sat_k100_1,4.634,4.696,4.702,
216,sat_k100_1p,3.202,3.211,3.245,
217,sat_k100_2d,4.775,4.838,4.887,
218,sat_k100_2,4.644,4.683,4.688,
219,sat_k100_2p,3.195,3.206,3.232,
220,sat_k70_d,3.324,3.348,3.403,
221,sat_k70,3.212,3.242,3.271,
222,sat_k70_p,2.199,2.229,2.246,
223,sat_k75_d,3.582,3.602,3.686,
224,sat_k75,3.430,3.473,3.518,
225,sat_k75_p,2.354,2.399,2.406,
226,sat_k80_d,3.815,3.886,3.914,
227,sat_k80,3.670,3.695,3.727,
228,sat_k80_p,2.524,2.544,2.573,
229,sat_k85_2d,4.071,4.130,4.157,
230,sat_k85_2,4.426,3.917,3.960,
231,sat_k85_2p,2.679,2.715,2.734,
232,sat_k85_3d,4.014,4.125,4.134,
233,sat_k85_3,3.919,3.961,3.985,
234,sat_k85_3p,2.683,2.723,2.724,
235,sat_k90_d,4.287,4.333,4.424,
236,sat_k90,4.153,4.171,4.204,
237,sat_k90_p,2.847,2.875,2.900,
238,sat_k95_d,4.557,4.588,4.624,
239,sat_k95,4.367,4.417,4.427,
240,sat_k95_p,3.020,3.038,3.069,
241,sat_slp_d,0.340,0.438,0.449,
242,sat_slp,0.358,0.561,0.619,
243,sat_slp_p,0.284,0.444,0.499,
244,sat_030_d,1.634,2.000,2.254,
245,sat_030,1.178,1.315,1.392,
246,sat_030_p,0.986,1.189,1.279,
247,sat_050_d,2.489,2.829,2.969,
248,sat_050,1.926,2.082,2.163,
249,sat_050_p,1.573,1.803,1.847,
250,sat_UCG-10p0_d,0.767,0.852,0.897,
251,sat_UCG-10p0,0.679,0.834,0.879,
252,sat_UCG-10p0_p,0.517,0.599,0.637,
253,sat_UCG-10p1_d,0.775,0.877,0.920,
254,sat_UCG-10p1,0.710,0.830,0.882,
255,sat_UCG-10p1_p,0.518,0.606,0.651,
256,sat_UCG-5p0_d,0.906,1.011,1.043,
257,sat_UCG-5p0,0.801,0.914,0.966,
258,sat_UCG-5p0_p,0.581,0.682,0.730,
259,sat_UR-15_d,0.798,0.874,0.902,
260,sat_UR-15,0.721,0.850,0.882,
261,sat_UR-15_p,0.552,0.632,0.646,
262,sat_UR-20_d,0.943,1.032,1.035,
263,sat_UR-20,0.810,0.946,0.943,
264,sat_UR-20_p,0.606,0.684,0.706,
265,sat_UTI_d,1.022,1.122,1.169,
266,sat_UTI,0.815,0.871,0.902,
267,sat_UTI_p,0.619,0.653,0.666,
268,sat_2.0_d,2.977,3.370,3.321,
269,sat_2.0,2.162,2.721,3.274,
270,sat_2.0_p,2.702,4.362,4.955,
271,sat_4.0-9_d,2.041,2.593,2.813,
272,sat_4.0-9,2.057,3.264,3.471,
273,sat_4.0-9_p,2.432,4.193,4.380,
274,192bit,0.335,0.449,0.380,
275,2cubes,0.263,0.443,0.511,
276,2D,0.079,0.097,0.107,
277,3D,0.862,1.327,1.531,
278,ABACUS,0.053,0.072,0.082,
279,af23560,0.064,0.106,0.125,
280,af_shell,0.707,0.725,0.731,
281,airfoil,0.054,0.083,0.097,
282,Andrews,0.660,1.232,1.279,
283,appu,2.272,2.539,2.482,
284,as-22,0.137,0.225,0.191,
285,astro,0.180,0.339,0.278,
286,atmos,2.016,2.107,2.169,
287,av41092,0.211,0.273,0.324,
288,barrier,0.326,0.454,0.481,
289,Baumann,0.188,0.246,0.273,
290,bayer04,0.053,0.079,0.090,
291,bbmat,0.149,0.276,0.337,
292,bcsstk,0.059,0.083,0.095,
293,Ben,0.465,0.480,0.491,
294,bibd,0.080,0.102,0.094,
295,bips,0.048,0.062,0.065,
296,bloweya,0.070,0.091,0.089,
297,bundle,0.077,0.115,0.114,
298,c-55,0.223,0.358,0.378,
299,c-61,0.139,0.231,0.215,
300,c-64,0.536,0.708,1.030,
301,CondMat,0.185,0.297,0.289,
302,cage10,0.183,0.343,0.349,
