id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
48,sat_aaai_p,2442.0,6.049,3939.8,13.87,4098.4,16.48,
49,sat_ACG_10p_d,6101.6,64.402,9235.599999999999,85.549,12566.999999999998,82.519,
50,sat_ACG_10p,timeout,123.185,4004.0,200.588,9633.800000000001,302.549,
51,sat_ACG_10p_p,4678.2,62.202,4524.4,84.602,9601.2,128.78,
52,sat_ACG_5p0_d,5255.0,55.7,8046.8,84.215,10810.4,114.041,
53,sat_ACG_5p0,timeout,123.185,5129.6,214.457,7760.200000000001,249.693,
54,sat_ACG_5p0_p,3615.2,49.65,6055.6,69.003,8966.2,116.994,
55,sat_ACG_5p1_d,5260.4,55.546,7700.0,70.025,9742.2,101.153,
56,sat_ACG_5p1,timeout,123.185,6172.6,147.513,8251.599999999999,303.488,
57,sat_ACG_5p1_p,3589.0,57.852,5660.4,83.336,9155.0,97.45,
58,sat_01_d,296.8,1.336,465.40000000000003,1.82,658.1999999999999,2.363,
59,sat_01,1040.6,1.457,1919.4,1.863,2437.2,2.041,
60,sat_01_p,1100.2,0.702,2006.3999999999999,0.998,2557.4,1.366,
61,sat_27_d,104.8,0.597,220.4,0.958,259.8,1.014,
62,sat_27,2537.6,1.184,3702.8,2.577,4332.8,2.363,
63,sat_27_p,2777.4,0.889,3928.8,1.495,4595.0,1.637,
64,sat_enc1_opt1_05_d,6456.2,41.409,8649.6,91.476,12965.599999999999,68.774,
65,sat_enc1_opt1_05,1745.2,30.254,3047.8,75.884,2556.4,60.061,
66,sat_enc1_opt1_05_p,3735.0,32.903,5643.6,42.385,4882.0,78.341,
67,sat_enc1_opt1_10_d,2298.2,11.962,2757.6,24.219,4659.8,24.078,
68,sat_enc1_opt1_10,1091.4,9.713,2196.4,26.487,2081.6,22.933,
69,sat_enc1_opt1_10_p,2584.8,10.367,4161.6,17.089,5351.8,20.856,
70,sat_enc1_opt1_15_d,8377.0,76.247,11513.2,79.861,16663.2,125.927,
71,sat_enc1_opt1_15,1254.0,48.284,2605.6,113.576,2901.6000000000004,93.077,
72,sat_enc1_opt1_15_p,2961.8,28.654,4707.799999999999,61.297,5130.0,51.882,
73,sat_enc1_opt2_4_d,5812.8,18.658,9389.8,32.507,11633.0,26.195,
74,sat_enc1_opt2_4,302.0,15.179,425.6,26.826,878.6,27.784,
75,sat_enc1_opt2_4_p,602.4,23.21,976.4,25.703,1275.4,34.627,
76,sat_enc1_opt2_12_d,1909.8,7.533,2912.4,13.703,4019.4,10.49,
77,sat_enc1_opt2_12,343.2,3.981,558.2,6.766,642.2,9.934,
78,sat_enc1_opt2_12_p,898.4,4.163,1353.6,9.978,1883.2,10.531,
79,sat_enc1_opt2_16_d,2102.0,4.36,2898.8,11.347,4171.2,13.726,
80,sat_enc1_opt2_16,340.6,4.244,551.2,8.342,691.2,10.585,
81,sat_enc1_opt2_16_p,877.4,7.321,1426.4,7.091,1832.8000000000002,9.181,
82,sat_enc2_opt1_05_d,6416.8,39.01,9328.0,63.23,13003.0,74.634,
83,sat_enc2_opt1_05,1190.2,23.099,1980.6000000000001,66.445,1785.6000000000001,62.577,
84,sat_enc2_opt1_05_p,1440.0,20.247,3394.6000000000004,53.02,4793.0,45.958,
85,sat_enc2_opt1_15_d,7760.0,72.528,10921.400000000001,110.825,15103.400000000001,114.252,
86,sat_enc2_opt1_15,1345.4,23.348,2221.0,52.172,2006.7999999999997,89.015,
87,sat_enc2_opt1_15_p,1575.0,27.302,3888.8,36.753,4621.6,51.964,
88,sat_enc3_opt1_50_d,timeout,123.185,timeout,504.18999999999994,5202.0,818.868,
89,sat_enc3_opt1_50,timeout,123.185,timeout,504.18999999999994,6410.599999999999,1275.095,
90,sat_enc3_opt1_50_p,timeout,123.185,timeout,504.18999999999994,7969.2,688.727,
91,sat_enc3_opt2_21_d,timeout,123.185,timeout,504.18999999999994,5307.8,666.06,
92,sat_enc3_opt2_21,timeout,123.185,timeout,504.18999999999994,4213.6,1250.49,
93,sat_enc3_opt2_21_p,timeout,123.185,1929.6,334.123,3762.0,632.718,
94,sat_enc3_opt2_12_d,timeout,123.185,timeout,504.18999999999994,4481.6,429.333,
95,sat_enc3_opt2_12,timeout,123.185,timeout,504.18999999999994,3279.3999999999996,983.745,
96,sat_enc3_opt2_12_p,timeout,123.185,2138.8,345.671,4121.6,426.877,
97,sat_enc3_opt2_14_d,timeout,123.185,timeout,504.18999999999994,4421.0,459.709,
98,sat_enc3_opt2_14,timeout,123.185,timeout,504.18999999999994,3352.6000000000004,771.803,
99,sat_enc3_opt2_14_p,timeout,123.185,1876.4,372.958,4113.6,436.961,
100,sat_blocks_d,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
101,sat_blocks,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
102,sat_blocks_p,timeout,123.185,timeout,504.18999999999994,30382.6,1101.836,
103,sat_bob-opt_d,75.4,5.166,133.2,6.619,176.0,8.782,
104,sat_bob-opt,489.4,3.799,994.4,6.444,1237.1999999999998,8.841,
105,sat_bob-opt_p,507.2,2.392,967.4,3.834,1237.4,5.476,
106,sat_bob_d,208.2,3.082,655.5999999999999,5.082,777.4000000000001,5.429,
107,sat_bob,1706.4,4.364,2539.4,6.692,3528.8,8.855,
108,sat_bob_p,1737.0,3.081,2495.4,5.365,3735.2000000000003,5.582,
109,sat_c10_d,1107.6,9.338,2730.8,17.247,2754.8,20.018,
110,sat_c10,5231.4,28.31,9946.400000000001,61.553,11521.0,64.527,
111,sat_c10_p,5112.4,15.385,9841.2,29.142,11765.8,37.496,
112,sat_count_d,96.4,1.296,163.0,2.178,227.2,2.447,
113,sat_count,289.2,1.27,512.0,2.094,736.6,2.368,
114,sat_count_p,303.8,0.885,534.5999999999999,1.755,770.5999999999999,1.841,
115,sat_ctl_d,2319.6,7.066,2241.8,8.999,2791.4,13.304,
116,sat_ctl,0.0,1.907,0.0,4.271,2676.0,4.887,
117,sat_ctl_p,0.0,2.282,0.0,3.919,5171.4,5.605,
118,sat_ctl_5_d,3806.6,5.548,4605.8,15.897,6274.800000000001,21.951,
119,sat_ctl_5,4229.8,5.067,6895.8,12.981,10858.400000000001,13.61,
120,sat_ctl_5_p,4235.2,4.058,6924.0,11.239,10800.8,9.564,
121,sat_dated_11_d,1489.6,70.418,2158.3999999999996,97.368,2586.2,103.081,
122,sat_dated_11,4267.2,35.178,6216.4,57.568,7233.4,58.722,
123,sat_dated_11_p,5412.6,17.715,8101.2,46.882,9714.4,36.719,
124,sat_dated_17_d,timeout,123.185,3422.2,236.117,4094.4,248.612,
125,sat_dated_17,6769.2,76.116,9349.8,123.517,11152.8,139.801,
126,sat_dated_17_p,8609.4,44.75,12582.400000000001,103.756,14488.0,72.852,
127,sat_E02F20_d,1121.0,3.014,2139.2,12.808,1998.4,13.249,
128,sat_E02F20,190.0,47.958,6870.799999999999,139.619,8960.8,132.934,
129,sat_E02F20_p,190.0,40.788,7887.6,80.83,10067.2,80.383,
130,sat_E02F22_d,0,80.383,0,80.383,0,80.383,
