dataset,gHyPart,policy1,BiPart,policy2,Mt,HEs
sat_L80_p,61474,-RAND,61474,RAND,78193,1183233
sat_k100_1d,675,-LDH,674,PLD,593,1621762
sat_k100_1,4274,-LDH,1365,PLD,1186,6356704
sat_k100_1p,2390,-LDH,1202,PLD,1164,6356704
sat_k100_2d,725,-RAND,1264,RAND,588,1621756
sat_k100_2,3663,-HDH,2391,PP,1187,6356692
sat_k100_2p,2003,-HDH,2004,PP,1172,6356692
sat_k70_d,753,-RAND,701,RAND,594,1131652
sat_k70,5316,-RAND,4573,RAND,1176,4433524
sat_k70_p,1238,-LDH,1192,PLD,1176,4433524
sat_k75_d,1289,-RAND,1285,RAND,601,1213331
sat_k75,2013,-RAND,3945,RAND,1180,4754042
sat_k75_p,1755,-HDH,1755,PP,1164,4754042
sat_k80_d,736,-RAND,730,RAND,599,1295022
sat_k80,3137,-HDH,2479,PP,1170,5074584
sat_k80_p,1186,-LDH,1170,PLD,1170,5074584
sat_k85_2d,1461,-HDH,1066,PP,592,1376701
sat_k85_2,3421,-HDH,4061,PP,1179,5395102
sat_k85_2p,1182,-LDH,1182,PLD,1164,5395102
sat_k85_3d,1063,-HDH,1066,PP,592,1376701
sat_k85_3,3421,-HDH,4061,PP,1167,5395102
sat_k85_3p,1182,-LDH,1182,PLD,1167,5395102
sat_k90_d,669,-LDH,669,PLD,591,1458392
sat_k90,1548,-RAND,1472,RAND,1175,5715644
sat_k90_p,1205,-LDH,1266,PLD,1181,5715644
sat_k95_d,708,-LDH,854,PLD,588,1540071
sat_k95,3956,-HDH,3956,PP,1173,6036162
sat_k95_p,1240,-LDH,1240,PLD,1164,6036162
sat_slp_d,1211,-HDH,1125,PP,2000,94998
sat_slp,3912,-HSNWH,3912,MWD,2614,302862
sat_slp_p,3736,-HSNWH,3736,MWD,3691,302862
sat_030_d,370,-HDH,370,PP,370,361750
sat_030,14025,-RAND,14025,RAND,15224,1934720
sat_030_p,14340,-LDH,15113,PLD,15661,1934720
sat_050_d,740,-HDH,740,PP,370,602670
sat_050,13197,-RAND,13197,RAND,14970,3224280
sat_050_p,13684,-LDH,13685,PLD,13016,3224280
sat_UCG-10p0_d,1257,-HRH,1257,MDEG,1218,199304
sat_UCG-10p0,4135,-HSNWH,4146,MWD,4448,1005834
sat_UCG-10p0_p,4959,-HSNWH,9318,MWD,5053,1005834
sat_UCG-10p1_d,1880,-RAND,1880,RAND,1188,200003
sat_UCG-10p1,4923,-LSNWH,4821,WD,5544,1019221
sat_UCG-10p1_p,7742,-LDH,7742,PLD,5075,1019221
sat_UCG-5p0_d,2314,-HRH,2314,MDEG,1675,224587
sat_UCG-5p0,10114,-HSNWH,10114,MWD,8240,1190673
sat_UCG-5p0_p,9083,-HSNWH,9083,MWD,8107,1190673
sat_UR-15_d,2968,-HDH,2995,PP,2972,199996
sat_UR-15,11446,-HSNWH,11446,MWD,9156,1019200
sat_UR-15_p,11461,-HSNWH,11461,MWD,10033,1019200
sat_UR-20_d,3364,-HDH,3364,PP,3205,224569
sat_UR-20,13568,-HRH,13568,MDEG,12207,1190619
sat_UR-20_p,15164,-HRH,15164,MDEG,12115,1190619
sat_UTI_d,360,-HDH,297,PP,230,260342
sat_UTI,974,-HRH,1519,MDEG,648,1391257
sat_UTI_p,1935,-HDH,935,PP,907,1391257
sat_2.0_d,2376,-HDH,2376,PP,1588,151669
sat_2.0,81775,-RAND,86725,RAND,79035,2465731
sat_2.0_p,107679,-HDH,107679,PP,121914,2465731
sat_4.0-9_d,1544,-HDH,1544,PP,635,96177
sat_4.0-9,99027,-LDH,120037,PLD,77390,1814189
sat_4.0-9_p,89605,-LDH,106003,PLD,74749,1814189
192bit,10184,-LSNWH,10049,WD,11910,13691
2cubes,4200,-HDH,4200,PP,4272,101492
2D,1025,-HDH,1025,PP,524,54019
3D,7099,-HSNWH,7099,MWD,8393,292008
ABACUS,328,-RAND,673,RAND,262,23412
af23560,822,-LRH,822,DEG,608,23560
af_shell,4065,-RAND,5060,RAND,2285,504855
airfoil,407,-HDH,407,PP,367,14214
Andrews,5971,-LDH,5610,PLD,4051,60000
appu,13869,-HDH,13869,PP,13989,14000
as-22,920,-HDH,797,PP,1037,22963
astro,4174,-RAND,4174,RAND,3901,16046
atmos,19927,-HSNWH,19927,MWD,17701,1270432
av41092,1820,-HDH,1182,PP,724,41092
barrier,8979,-HDH,8979,PP,8195,113076
Baumann,2744,-HRH,2744,MDEG,2230,112211
bayer04,127,-RAND,85,RAND,72,20545
bbmat,1185,-LSNWH,1196,WD,1184,38744
bcsstk,540,-HSNWH,540,MWD,462,13992
Ben,2010,-LDH,2010,PLD,1770,245874
bibd,1003,-RAND,1003,RAND,1114,1176
bips,75,-HDH,75,PP,62,15066
bloweya,5038,-LSNWH,5038,WD,4958,30004
bundle,1253,-HDH,1253,PP,1528,10581
c-55,4465,-HSNWH,4465,MWD,3928,32780
c-61,2754,-HSNWH,2754,MWD,2528,43618
c-64,1194,-HSNWH,1194,MWD,1384,51035
CondMat,5157,-RAND,5669,RAND,4366,23133
cage10,2491,-RAND,2491,RAND,2432,11397
ccc,109,-LSNWH,75,WD,1,49152
cfd,2316,-HDH,2316,PP,2126,70656
Chem97Zt,35,-HDH,35,PP,1,2541
circuit,1349,-HSNWH,1347,MWD,1396,12127
ckt,186,-RAND,176,RAND,169,49702
cnr,51,-HDH,51,PP,53,247501
conf5_4,0,-RAND,0,RAND,0,49152
copter,1100,-HDH,1100,PP,1060,17222
coupled,2105,-HSNWH,2105,MWD,1892,11341
crash,2634,-HDH,2634,PP,2182,160000
cryg,224,-HDH,224,PP,208,10000
crystk,1139,-HDH,1121,PP,1242,13965
d_pretok,3206,-LDH,3206,PLD,2711,182730
dac11,2237,-HDH,2237,PP,1528,935731
dac14,6315,-HRH,16190,MDEG,4385,619815
dac16,11067,-HDH,11067,PP,9133,697458
dac2,6328,-HRH,6328,MDEG,4531,990899
dac3,3372,-HDH,3372,PP,1776,898001
dac6,5739,-HRH,5739,MDEG,2991,1006629
dac7,2665,-RAND,2631,RAND,2260,1340418
delta,675,-HSNWH,675,MWD,686,68600
denormal,1272,-RAND,1272,RAND,1216,89400
dict,0,-RAND,0,RAND,0,39327
diel,13224,-HDH,5174,PP,3122,607232
cova2,1171,-HSNWH,1171,MWD,1009,65025
ecl32,1953,-HRH,2493,MDEG,1837,51993
Emilia,27009,-HSNWH,27009,MWD,28884,923136
epb1,231,-HDH,231,PP,223,14734
ESOC,168815,-LDH,176807,PLD,191742,327062
Eternity,1058,-HDH,1058,PP,780,7362
ex19,0,-RAND,0,RAND,0,12005
F2,1116,-HDH,2982,PP,1545,71505
fd18,165,-HRH,165,MDEG,165,16428
fem,3698,-HDH,3744,PP,3319,74062
finan,156,-RAND,156,RAND,152,74752
flower,4799,-LSNWH,5118,WD,5096,27693
foldoc,7038,-HDH,7005,PP,6700,13356
Franz,23895,-LSNWH,23943,WD,24333,47104
G2,791,-HRH,791,MDEG,763,150102
g7jac,824,-HDH,856,PP,923,11790
garon,812,-LSNWH,812,WD,577,13535
gearbox,1723,-HRH,1723,MDEG,280,153746
gemat,71,-HDH,71,PP,37,4929
graphics,558,-LSNWH,558,WD,438,29493
gyro,321,-RAND,321,RAND,129,17361
H2O,13952,-HDH,13952,PP,14405,67024
HEP,4704,-RAND,4411,RAND,4111,24541
HTC,1983,-RAND,1983,RAND,1829,226340
hvdc1,113,-RAND,113,RAND,65,24842
IG5,0,-LDH,0,PLD,0,30162
Ill,1312,-HRH,1312,MDEG,1304,20896
interp,946,-LSNWH,946,WD,878,232485
IMDB,28488,-RAND,25333,RAND,26161,303617
ibm01,317,-HDH,317,PP,224,14111
ibm02,401,-HDH,401,PP,384,19584
ibm03,1430,-HRH,1430,MDEG,1119,27401
ibm04,597,-HSNWH,597,MWD,635,31970
ibm05,2397,-HRH,2397,MDEG,1874,28446
ibm06,1133,-HDH,1104,PP,1027,34826
ibm07,1098,-LDH,1817,PLD,987,48117
ibm08,1303,-HSNWH,1303,MWD,1297,50513
ibm09,1136,-RAND,1128,RAND,679,60902
ibm10,2436,-LSNWH,2004,WD,1723,75196
ibm11,1267,-HRH,1267,MDEG,1195,81454
ibm12,2389,-HRH,2389,MDEG,2233,77240
ibm13,1451,-HDH,1444,PP,961,99666
ibm14,2960,-HDH,3457,PP,2383,152772
ibm15,3981,-RAND,3981,RAND,2976,186608
ibm16,3167,-HRH,3167,MDEG,2043,190048
kim1,1254,-HDH,1254,PP,964,38415
kkt,15505,-HDH,15505,PP,21276,2063494
duct3D,3505,-HSNWH,3505,MWD,2768,67173
lhr14,174,-RAND,174,RAND,127,14270
li,3463,-HDH,3463,PP,3033,22695
tissue,626,-HDH,626,PP,556,29282
Lin,6960,-HRH,6960,MDEG,6430,256000
lp_nug,12825,-RAND,12825,RAND,11529,15240
lp_pds,1096,-LDH,1113,PLD,700,33798
lung,28,-HDH,28,PP,4,109460
m14b,2039,-HDH,2039,PP,2080,214765
mac,402,-HSNWH,402,MWD,315,206500
Maragal,2510,-LSNWH,2510,WD,2535,21251
mc2depi,1003,-LSNWH,1820,WD,962,525825
mixtank,3869,-HDH,4108,PP,3685,29957
mono,11031,-HRH,11031,MDEG,8498,169410
mri1,561,-HRH,561,MDEG,505,65536
msc,1785,-HSNWH,1785,MWD,1236,10848
msdoor,2128,-HDH,2128,PP,2114,415863
mult_dcop,11399,-HRH,11865,MDEG,11221,25187
nasasrb,934,-HDH,934,PP,730,54870
nd12k,12667,-HSNWH,12667,MWD,12385,36000
net100,10294,-LDH,10294,PLD,15002,29920
nopoly,74,-LSNWH,72,WD,62,10774
actors,12372,-RAND,12372,RAND,12082,383640
www,13,-RAND,13,RAND,6,137941
obstclae,420,-LDH,420,PLD,408,40000
olafu,947,-LRH,947,DEG,816,16146
opt1,2193,-LDH,1980,PLD,1672,15449
Oregon,482,-HDH,482,PP,414,11174
p2p,3679,-HSNWH,3664,MWD,3776,6221
para,10120,-HDH,11045,PP,7717,153226
parabolic,1330,-HDH,1374,PP,1112,525825
Pd,0,-RAND,0,RAND,0,4371
pdb,2940,-RAND,2940,RAND,2406,36417
pds,1192,-HRH,1192,MDEG,1633,142596
pesa,109,-LDH,109,PLD,79,11738
PGP,449,-HDH,440,PP,384,10680
pkustk,3114,-HSNWH,3114,MWD,3264,87804
poisson3D,5245,-HDH,5245,PP,4746,85623
poli3,108,-HDH,108,PP,106,16955
powersim,56,-LDH,56,PLD,9,15838
pre2,4721,-HSNWH,4721,MWD,3542,659033
Pres,646,-HSNWH,646,MWD,506,14822
psse2,150,-HSNWH,150,MWD,98,28634
qa8fk,968,-RAND,968,RAND,846,66127
rajat,40,-RAND,40,RAND,27,51032
Reuters,5574,-LRH,5574,DEG,7808,13314
RFdevice,2118,-HSNWH,2118,MWD,2034,74104
rgg,1294,-LDH,1294,PLD,938,262141
rim,544,-RAND,544,RAND,436,22560
rma,521,-LRH,534,DEG,483,46835
Rucci,44255,-HDH,56507,PP,35223,1977885
s4dkt,1458,-LDH,1458,PLD,1350,90449
scfxm,991,-HSNWH,991,MWD,991,37980
scircuit,77,-LDH,64,PLD,45,170998
shallow,794,-RAND,794,RAND,777,81920
sherman,6374,-HSNWH,6374,MWD,5547,18510
ship,1566,-HDH,1584,PP,1164,34920
shock,274,-RAND,407,RAND,248,36476
shyy,339,-HRH,339,MDEG,160,76480
skirt,60,-RAND,60,RAND,12,12598
sme3D,1068,-HRH,1068,MDEG,498,29067
soc-sign,1405,-LRH,1405,DEG,3907,95318
sparsine,20498,-HSNWH,20498,MWD,18630,50000
spmsrtls,120,-HRH,120,MDEG,6,29995
std1_Jac3,1449,-LSNWH,1449,WD,1688,21982
stokes,976,-HRH,976,MDEG,789,49666
ted_A,138,-HRH,138,MDEG,84,10605
TF16,5291,-LSNWH,5575,WD,5423,15437
thermal,346,-HRH,354,MDEG,304,82654
therm,338,-RAND,927,RAND,314,102158
tmt,2430,-RAND,2414,RAND,2270,917825
tomogra,3514,-HDH,3514,PP,2159,45908
torso,7994,-LDH,7994,PLD,7374,259156
Trec,3079,-HSNWH,3079,MWD,2996,3159
Trefe,16930,-LRH,17375,DEG,16348,20000
TSOPF,14083,-LSNWH,14083,WD,8667,30798
us04,91,-HDH,91,PP,82,163
usroads,220,-RAND,244,RAND,95,129164
venkat,888,-HDH,888,PP,652,62424
vibro,2933,-HDH,2933,PP,2530,12328
plastic,1714,-LRH,1773,DEG,1619,32769
rocks,482,-LRH,482,DEG,432,37762
wave3D,329,-RAND,769,RAND,316,21036
wathen120,666,-RAND,929,RAND,644,36441
water,4883,-RAND,4670,RAND,4797,60740
wang4,2003,-HDH,2003,PP,1740,26068
xenon,4314,-LDH,4213,PLD,3758,157464
Zhao,728,-HRH,728,MDEG,730,33861
G67,0,-LDH,0,PLD,0,10000
af101,4405,-HRH,4405,MDEG,1820,503625
eco1,2899,-LDH,2899,PLD,2078,1000000
ibm18,2385,-HDH,2385,PP,2146,201920
ibm17,3130,-RAND,3080,RAND,2788,189581
web1M,624,-RAND,624,RAND,795,1000005
nl120,98010,-LDH,98010,PLD,88850,3542400
sat_p,350004,-HSNWH,350004,MWD,361821,13378010
wbedu,13853,-HDH,13853,PP,13168,6920306
Stanf,216,-LRH,216,DEG,77,261588
gene2,12687,-LDH,12687,PLD,11753,14340
Hamr3,2546,-LDH,2573,PLD,1750,1447360
StocF,7992,-RAND,7992,RAND,5941,1465137
lang,21286,-HSNWH,21286,MWD,20153,399130
kron,17055,-LRH,17055,DEG,37983,55321
case39,14069,-HRH,12734,MDEG,10905,40216
dac9,4504,-HRH,4504,MDEG,2329,833808
dac12,9848,-HSNWH,9848,MWD,5986,1293436
dac19,1686,-HRH,3082,MDEG,1434,511685
tran4,55401,-HSNWH,55401,MWD,55604,116835
Cheb4,1426,-HSNWH,1426,MWD,1044,68121
sat_d,8832,-HDH,15394,PP,5715,521147
HV15R,70635,-HSNWH,70635,MWD,63914,2017169
gupta2,18016,-HRH,34403,MDEG,18540,62064
ASIC,341886,-LDH,341886,PLD,329315,682862
ASIC320k,174996,-LDH,174996,PLD,155777,321821
wiki-Talk,8705,-HDH,8705,PP,905,147602
com-Youtube,86986,-RAND,83205,RAND,113595,1134890
Freescal,2881,-HDH,2881,PP,1015,3428755
roadNet-CA,573,-HDH,573,PP,263,1965206
delaunay23,9123,-HDH,9123,PP,6088,8388608
coPapersDBLP,205990,-LSNWH,205244,WD,162037,540486
dc1,55401,-HSNWH,55401,MWD,55604,116835
channel,28343,-HSNWH,28343,MWD,29432,4802000
as-Skitter,178517,-HDH,178517,PP,135079,1696415
ASIC_100k,50699,-RAND,50699,RAND,48852,99340
