id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
175,sat_MD5-29-4_d,8590,670,1520,1674,0.00595075,0.0091312,0.0109631
176,sat_MD5-29-4,65312,4285,9219,9926,0.00455886,0.00797647,0.0126251
177,sat_MD5-29-4_p,65312,4721,7591,10837,0.00391561,0.00893703,0.0129969
178,sat_MD5-30-4_d,8905,632,1390,1729,0.00576647,0.010116,0.0113717
179,sat_MD5-30-4,68106,4667,7605,11323,0.00416971,0.00829023,0.0147289
180,sat_MD5-30-4_p,68106,4654,7898,11082,0.00510514,0.00753507,0.0176564
181,sat_MD5-30-5_d,8905,721,1464,1764,0.00514536,0.00827779,0.0102215
182,sat_MD5-30-5,68103,4620,8782,10224,0.00401028,0.0114048,0.0150133
183,sat_MD5-30-5_p,68103,4647,8984,10374,0.00589699,0.0128203,0.0164379
184,sat_min_d,249327,1924,5812,11328,0.0104947,0.0299397,0.0472288
185,sat_min,746444,4034,29754,42510,0.0178287,0.0394388,0.0690592
186,sat_min_p,746444,3444,39994,49670,0.0148612,0.031047,0.0399521
187,sat_p30_d,324116,833,12293,4513,0.0105176,0.0277936,0.0454389
188,sat_p30,1643601,5381,9764,27232,0.0260162,0.0443972,0.0765263
189,sat_p30_p,1643601,4284,26003,17238,0.0122793,0.0284571,0.0300378
190,sat_p30_NOT_d,95456,1840,3624,3923,0.00730888,0.015697,0.0192753
191,sat_p30_NOT,483561,3873,7811,11735,0.0101842,0.0292376,0.0392627
192,sat_p30_NOT_p,483561,4350,14313,13563,0.00519907,0.0110967,0.016341
193,sat_non_p30_d,324116,833,12293,4513,0.0101993,0.027988,0.0483306
194,sat_non_p30,1643601,5381,9764,27232,0.0259302,0.0472847,0.0785784
195,sat_non_p30_p,1643601,4284,26003,17238,0.0123322,0.0289012,0.0288623
196,sat_post_d,276895,821,1029,1955,0.0156857,0.0316333,0.0388045
197,sat_post,1607567,5235,5657,9382,0.0238197,0.0386109,0.0571195
198,sat_post_p,1607567,1983,7849,10492,0.0214218,0.0377531,0.0488574
199,sat_post-ee_d,266199,349,724,1084,0.0147061,0.0255439,0.0303164
200,sat_post-ee,1575975,4820,4577,6462,0.0158718,0.024111,0.0492351
201,sat_post-ee_p,1575975,2470,2900,5491,0.0102646,0.0177725,0.0269287
202,sat_L100_d,315617,500,2286,2791,0.0174038,0.0364597,0.0261431
203,sat_L100,1522583,63207,156916,254924,0.0542162,0.128948,0.145688
204,sat_L100_p,1522583,76911,162373,181528,0.0498011,0.0923821,0.109418
205,sat_L150_d,486992,2142,2888,4947,0.0961631,0.109328,0.120441
206,sat_L150,2456708,121874,222885,291730,0.0421684,0.083555,0.30783
207,sat_L150_p,2456708,148523,281789,352429,0.0419681,0.10473,0.15716
208,sat_L200_d,670867,625,3954,4574,0.0900617,0.102746,0.106705
209,sat_L200,3513333,231057,308544,400511,0.0810568,0.335736,0.216026
210,sat_L200_p,3513333,145077,318292,414424,0.055451,0.0960451,0.222321
211,sat_L80_d,250567,465,2018,2407,0.0428508,0.046876,0.0533884
212,sat_L80,1183233,84188,108946,162996,0.159194,0.130613,0.203307
213,sat_L80_p,1183233,61474,124833,143099,0.0422441,0.0547815,0.0977954
214,sat_k100_1d,1621762,675,2413,8480,0.0212936,0.0422144,0.0625172
215,sat_k100_1,6356704,4274,4908,10524,0.0410149,0.0764467,0.100537
216,sat_k100_1p,6356704,2390,4806,4788,0.0312411,0.0617401,0.084804
217,sat_k100_2d,1621756,725,3241,4004,0.0212075,0.0483576,0.186413
218,sat_k100_2,6356692,3663,9557,14020,0.0542814,0.10599,0.133134
219,sat_k100_2p,6356692,2003,9007,14435,0.341065,0.0813916,0.405864
220,sat_k70_d,1131652,753,2327,4711,0.0175073,0.0400828,0.0476407
221,sat_k70,4433524,5316,9738,13687,0.0819832,0.0593211,0.171067
222,sat_k70_p,4433524,1238,4777,5976,0.0241199,0.0416527,0.135015
223,sat_k75_d,1213331,1289,2166,3119,0.016425,0.0294906,0.0518688
224,sat_k75,4754042,2013,6658,8054,0.0314418,0.0617197,0.0803929
225,sat_k75_p,4754042,1755,7916,16022,0.0371025,0.073719,0.185339
226,sat_k80_d,1295022,736,3923,2581,0.0164893,0.0338396,0.047921
227,sat_k80,5074584,3137,5584,8426,0.0407035,0.0773772,0.106454
