id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
163,sat_manol_g10_i_d,266405,1609,3784,4775,0.0271242,0.0385103,0.0497706
164,sat_manol_g10_i,792175,8782,13288,16148,0.022074,0.0374039,0.0555495
165,sat_manol_g10_i_p,792175,7748,14911,17773,0.0192292,0.0309694,0.0534693
166,sat_MD5-28-1_d,8282,739,1102,1680,0.0048801,0.00807235,0.0099448
167,sat_MD5-28-1,62558,4881,8099,10232,0.00823507,0.0148244,0.0202389
168,sat_MD5-28-1_p,62558,4181,7069,9366,0.00463923,0.00823837,0.0117463
169,sat_MD5-28-2_d,8281,680,1221,1686,0.00522304,0.00910909,0.00973512
170,sat_MD5-28-2,62554,4283,8270,9779,0.0100733,0.017162,0.0226847
171,sat_MD5-28-2_p,62554,4254,7211,10282,0.00537683,0.00746797,0.011245
172,sat_MD5-28-4_d,8281,680,1175,1686,0.00517821,0.00825514,0.00827517
173,sat_MD5-28-4,62544,4315,8131,10064,0.00445648,0.00825555,0.0130396
174,sat_MD5-28-4_p,62544,4027,9645,9698,0.0077881,0.0124225,0.0168565
175,sat_MD5-29-4_d,8590,670,1520,1674,0.00523181,0.00842329,0.0109338
176,sat_MD5-29-4,65312,4273,9219,9947,0.00563818,0.00860954,0.0140699
177,sat_MD5-29-4_p,65312,4863,9855,9547,0.00385168,0.00838024,0.0119063
178,sat_MD5-30-4_d,8905,632,1390,1729,0.00641923,0.00974477,0.0110404
179,sat_MD5-30-4,68106,4667,7839,11455,0.00375706,0.00815866,0.0117768
180,sat_MD5-30-4_p,68106,4538,7904,11283,0.00507488,0.00891949,0.0121943
181,sat_MD5-30-5_d,8905,721,1464,1764,0.00611891,0.00786105,0.00980522
182,sat_MD5-30-5,68103,4620,9194,10618,0.00375808,0.00904707,0.014441
183,sat_MD5-30-5_p,68103,5377,11003,11211,0.0103463,0.0137619,0.0222562
