id,dataset,cutk2,extimek2,cutk3,extimek3,cutk4,extimek4,hedges
256,sat_UCG-5p0_d,1161,40.167,1785,82.208,2369,80.344,224587
257,sat_UCG-5p0,6799,57.735,13328,123.95,16108,147.913,1190673
258,sat_UCG-5p0_p,7012,50.76,12024,62.152,16658,99.238,1190673
259,sat_UR-15_d,1552,44.22,3450,88.782,4124,98.135,199996
260,sat_UR-15,8581,65.733,12821,103.01,15850,116.111,1019200
261,sat_UR-15_p,8605,77.419,14582,97.914,17570,98.132,1019200
262,sat_UR-20_d,2044,55.426,3345,109.521,4980,123.355,224569
263,sat_UR-20,10798,82.051,15522,118.391,19282,140.129,1190619
264,sat_UR-20_p,11642,54.007,18280,102.902,19672,95.248,1190619
265,sat_UTI_d,149,63.932,316,64.244,773,110.421,260342
266,sat_UTI,642,62.657,1281,108.968,1914,130.634,1391257
267,sat_UTI_p,827,37.472,1654,67.332,2481,73.52,1391257
268,sat_2.0_d,14400,169.896,4786,445.606,8831,452.803,151669
269,sat_2.0,69266,323.7,147796,1042.054,159061,909.441,2465731
270,sat_2.0_p,103900,238.761,210240,326.973,248356,545.771,2465731
271,sat_4.0-9_d,11060,280.972,10864,332.272,9122,195.651,96177
272,sat_4.0-9,67248,271.744,110395,457.723,128907,586.803,1814189
273,sat_4.0-9_p,69702,86.405,138452,156.704,274366,208.208,1814189
274,192bit,7379,3.402,10457,7.196,11902,9.207,13691
275,2cubes,3652,49.303,8112,62.707,10473,98.685,101492
276,2D,463,4.32,860,6.004,1226,7.323,54019
277,3D,6348,86.287,12696,153.571,19044,173.217,292008
278,ABACUS,208,1.936,430,2.912,628,3.172,23412
279,af23560,608,2.057,1216,3.575,1824,4.269,23560
280,af_shell,1765,58.444,3640,85.106,4345,94.348,504855
281,airfoil,320,2.277,523,3.911,665,4.276,14214
282,Andrews,4025,12.723,5704,32.205,7616,30.809,60000
283,appu,13957,1.026,13985,5.152,13999,12.854,14000
284,as-22,1719,0.944,983,1.898,2167,2.006,22963
285,astro,3703,7.631,4785,9.787,5393,12.677,16046
286,atmos,17168,298.764,22599,601.642,31883,802.091,1270432
287,av41092,778,6.741,1044,7.247,1554,12.599,41092
288,barrier,6974,56.031,10671,67.651,12587,87.832,113076
289,Baumann,2222,11.918,2982,27.872,4137,29.319,112211
290,bayer04,53,0.746,106,1.0,157,1.322,20545
291,bbmat,1140,4.86,2068,14.915,2996,14.663,38744
292,bcsstk,360,1.665,726,2.174,1080,3.214,13992
293,Ben,153228,34.771,34830,62.411,69171,52.245,245874
294,bibd,1111,0.984,1144,3.783,1157,3.625,1176
295,bips,58,0.349,87,0.607,113,0.694,15066
296,bloweya,4504,0.992,6066,1.712,6984,1.561,30004
297,bundle,1327,1.731,1554,1.838,3192,2.548,10581
298,c-55,3363,9.015,4951,14.756,5859,13.244,32780
299,c-61,2175,6.898,2845,10.339,3428,10.244,43618
300,c-64,860,9.094,6181,12.164,7509,19.058,51035
301,CondMat,3868,9.29,5503,12.501,6518,13.59,23133
302,cage10,2200,2.463,3421,5.169,4793,5.092,11397
303,ccc,0,1.816,4681,7.635,4096,4.334,49152
304,cfd,1524,18.286,2256,29.643,3520,39.804,70656
305,Chem97Zt,122,0.149,34,0.592,84,0.531,2541
